"Title","Description","Status","Priority","Labels"
"Fix prompt drift — add promptLint() deduplication to auditor","The auditor's reflection system has caused severe prompt degradation across all agent prompts. Evidence: `prompts/00-architect.txt` has sentences repeated 6 times in a row (""Provide concrete evidence..."" and ""Ensure that all outputs are complete..."").

**Requirements:**
* Add a `promptLint(promptText)` function that detects and removes duplicate sentences/paragraphs before the auditor commits any reflection update
* Before applying a reflection update in `agents/99-slack-gateway.js` `applyReflectionChanges()`, check for substring or cosine similarity match against existing prompt text
* Add a max prompt size budget per agent (2000 tokens) — reject reflection updates that would exceed it
* Log a warning when deduplication removes text: `log.warn('Removed N duplicate sentences from prompt')`

**Files:** `agents/11-auditor.js`, `agents/99-slack-gateway.js` (lines 885-946)
**Dependencies:** core/logger.js","Backlog","Urgent","ai"
"Clean all 12 prompt files — remove existing duplicates and drift","Manually audit and clean all 12 prompt files in `prompts/` to remove duplicated text caused by the auditor's reflection system.

**Requirements:**
* Review each file in `prompts/*.txt` for repeated sentences, paragraphs, or instructions
* Remove exact and near-exact duplicates while preserving the original intent
* Consolidate multiple ""Reflection Update"" sections into a single coherent section per prompt
* Verify each cleaned prompt is under 2000 tokens
* Commit cleaned prompts with clear diff showing what was removed

**Files:** All files in `prompts/*.txt` (12 files)
**Dependencies:** None — this is a manual cleanup task","Backlog","High","ai"
"Deprecate openclaw-memory.js — unify on LanceDB memory system","Two parallel memory systems exist. `00-architect.js` imports `readRecentContext`, `readTodayScreenActivity`, `readTodayAudioTranscripts` from `openclaw-memory.js` — a filesystem-based markdown store that duplicates what LanceDB already holds.

**Requirements:**
* Replace the 3 function calls in `agents/00-architect.js` with equivalent `searchAllContext()` calls from `core/memory.js`
* Add `@deprecated` JSDoc annotations to all exports in `core/openclaw-memory.js`
* Verify `scripts/ingest-context.js` is writing to the LanceDB `context_feed` table (it does — just confirm)
* Update any other files that import from `core/openclaw-memory.js`
* Remove openclaw-memory.js imports from `00-architect.js` morning/evening brief builders

**Files:** `core/openclaw-memory.js`, `agents/00-architect.js`
**Dependencies:** core/memory.js must have equivalent search functions","Backlog","High","pipeline"
"Add embedding cache with LRU + TTL to core/memory.js","Every `searchMemory()`, `searchScreenContext()`, and `addMemory()` call hits OpenRouter for embeddings. The same queries (e.g., each agent's `contextQuery`) get re-embedded on every `run()`. The morning brief alone generates 10+ embedding requests.

**Requirements:**
* Install `lru-cache` npm package
* Add an LRU cache in `core/memory.js` keyed on first 200 chars of the text being embedded
* TTL: 6 hours for query embeddings, 24 hours for content embeddings
* Max cache size: 1000 entries
* Persist cache to `~/hydra-brain/brain/embedding_cache.json` on graceful shutdown (SIGTERM)
* Reload cache from file on startup if it exists and is < 24 hours old
* Log cache hit rate every hour: `log.info('Embedding cache hit rate: X%')`

**Files:** `core/memory.js` (function `getEmbedding`)
**Dependencies:** lru-cache (npm)","Backlog","High","pipeline, ai"
"Encrypt SahibaBot namespace data (AES-256-GCM)","Relationship data (WhatsApp drafts, promises, date plans) stored in plaintext SQLite and backed up unencrypted to Google Drive. This is a privacy risk.

**Requirements:**
* Use Node.js `crypto.createCipheriv` with AES-256-GCM on the `03_SAHIBA` namespace
* Encryption key derived from env variable `SAHIBA_ENCRYPTION_KEY`
* Wrap `addConversationMessage` and `getRecentConversation` in `core/db.js` for the `03-sahibabot` namespace with encrypt/decrypt
* Add `SENSITIVE: true` flag to the registry config for namespaces that should be excluded from Google Drive backup
* Update `scripts/backup-gdrive.sh` to skip SENSITIVE namespaces
* Add `SAHIBA_ENCRYPTION_KEY` to `sample.env` with generation instructions

**Files:** `core/db.js`, `core/filesystem.js`, `agents/03-sahibabot.js`, `core/registry.js`, `sample.env`
**Dependencies:** Node.js crypto (built-in)","Backlog","High","security"
"Build core/proactive.js — proactive intelligence scheduler engine","Currently only Architect (morning/evening briefs) and Watchtower run proactively. The other 11 agents sit idle until asked via Slack. A chief of staff should anticipate needs.

**Requirements:**
* New `core/proactive.js` module with a `ProactiveEngine` class
* Add a `proactiveChecks` array to each agent's registry config
* Each check is an object: `{ name, cron, gatherFn, conditionFn, priority, channel }`
* `gatherFn()` collects data (e.g., step count, spending today, calendar events)
* `conditionFn(data)` returns true if the agent should fire (e.g., steps < 5000 by 3pm)
* Only dispatches to `agent.run()` when the condition fires, with gathered data as context
* Respects budget tiers — don't fire proactive checks if agent is budget-paused
* Publishes `hydra:proactive.fired` bus event with agent name and check name
* Start with 4 checks:
  - **BioBot:** 3 PM step nudge (steps < 5000)
  - **CFOBot:** daily spending velocity (> ₹500/day pace)
  - **SahibaBot:** anniversary/date reminders from calendar (within 3 days)
  - **EdmoBot:** standup reminder (no Jira update by 10 AM)

**Files:** new `core/proactive.js`, `core/registry.js`, `ecosystem.config.cjs`
**Dependencies:** node-cron, core/bus.js, core/bottleneck.js, core/db.js","Backlog","Urgent","ai, infra"
"Implement intelligent model routing per request complexity","Every request uses the agent's fixed model regardless of complexity. Simple queries cost the same as complex multi-step analysis.

**Requirements:**
* Add `routeModel(userMessage, agentConfig)` function in `core/agent.js`
* Classify complexity using heuristics:
  - **Low:** message < 50 chars, no question marks, simple greetings/status checks → use `mistralai/mistral-small-3.2-24b-instruct`
  - **Medium:** standard queries with single-topic focus → use agent's default model
  - **High:** message > 200 chars OR contains keywords like 'analyze', 'compare', 'plan', 'strategy' OR requires tools → use agent's default or upgrade
* Track per-complexity-tier token spend in SQLite for cost analysis
* Add `modelRouting: true/false` flag in registry per agent (some agents should always use their assigned model)
* Log routing decisions: `log.info('Routed to model X (complexity: low)', { agentName })`
* Dashboard API: `GET /api/routing-stats` — show routing distribution

**Files:** `core/agent.js`, `core/bottleneck.js`, `core/registry.js`, `scripts/dashboard.js`
**Dependencies:** None","Backlog","High","ai, infra"
"Build comprehensive test suite — core modules (Phase 1)","Only 3 smoke tests exist for a system that autonomously sends messages, creates tickets, controls appliances, and manages finances.

**Requirements (Phase 1 — core modules):**
* `tests/core/bottleneck.test.js` — budget enforcement logic, circuit breaker trip/reset, tier-based pausing, monthly reset, cost calculation
* `tests/core/agent.test.js` — tool call loop with mock LLM, retry logic, context window truncation, conversation history injection, model routing
* `tests/core/db.test.js` — all CRUD operations (agent_state, transactions, conversation_history, recording_briefs, action_items), schema init, parameterized queries
* `tests/core/bus.test.js` — publish/subscribe, payload serialization, NR trace header injection, error handling on Redis disconnect
* All tests must mock external services (OpenRouter, Slack, Redis, Jira, GitHub)
* Use vitest `describe`/`it`/`expect` pattern
* Target: >80% code coverage on core/ modules
* Add `npm run test:coverage` script to package.json

**Files:** `tests/core/*.test.js`, `vitest.config.js`, `package.json`
**Dependencies:** vitest, @vitest/coverage-v8","Backlog","High","testing"
"Build cross-agent workflow engine (core/workflow.js)","The Redis bus exists but only carries fire-and-forget events. No orchestration layer chains agents together for multi-step workflows.

**Requirements:**
* New `core/workflow.js` module with a `WorkflowEngine` class
* Define workflows as JSON configuration:
```json
{
  ""name"": ""meeting-to-tickets"",
  ""trigger"": ""hydra:recording.triaged"",
  ""condition"": ""payload.meetingType === 'work'"",
  ""steps"": [
    { ""agent"": ""01-edmobot"", ""action"": ""create_jira_tickets"", ""input"": ""payload.actionItems"" },
    { ""agent"": ""00-architect"", ""action"": ""run"", ""input"": ""'Update priorities based on new meeting action items'"" }
  ]
}
```
* Steps execute sequentially; each step can transform/filter payload before passing to next
* Error handling: if a step fails, log error, publish `hydra:workflow.error`, skip to next step
* Implement 3 starter workflows:
  - **meeting-to-tickets:** recording.triaged (work) → EdmoBot creates Jira tickets from action items
  - **health-to-environment:** health.alert (low HRV) → Architect adjusts priorities + Jarvis adjusts room
  - **spending-alert-cascade:** budget.warning → CFOBot detailed breakdown → Architect adjusts day plan
* Dashboard page: `/workflows` showing active workflows, execution history, success/failure counts

**Files:** new `core/workflow.js`, `core/bus.js`, `scripts/dashboard.js`
**Dependencies:** core/bus.js, core/agent.js, core/registry.js","Backlog","High","ai, infra"
"Build decision journal system in core/db.js","The system logs agent runs and transactions but has no concept of 'decisions.' When CFOBot flags an expense or the Auditor changes a prompt, there is no systematic way to review whether those decisions were good ones.

**Requirements:**
* New SQLite table `decisions`:
  - `id INTEGER PRIMARY KEY AUTOINCREMENT`
  - `agent TEXT NOT NULL` — which agent made/recommended the decision
  - `category TEXT` — finance, health, work, relationship, system
  - `decision_text TEXT NOT NULL` — what was decided
  - `rationale TEXT` — why this decision was made
  - `outcome TEXT` — what happened as a result (filled in later)
  - `score INTEGER` — 1-5 rating (filled in during retrospective)
  - `created_at TEXT DEFAULT (datetime('now'))`
  - `reviewed_at TEXT` — when retrospective was done
* Add `db.addDecision(agent, category, text, rationale)` function
* Add `db.getUnreviewedDecisions(days)` — decisions not yet scored
* Add `db.scoreDecision(id, outcome, score)` function
* Auditor's weekly reflection includes a decision review pass over unscored decisions
* Dashboard page: `/decisions` with table view, filters by agent/category, scoring interface

**Files:** `core/db.js`, `agents/11-auditor.js`, `scripts/dashboard.js`
**Dependencies:** None","Backlog","Medium","ai"
